YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M
2015,1,11.73,22.75,3.44,19.31,0.0,41.79,2.73,5.07,77.13,4.0
2015,2,12.3,24.01,4.09,19.92,0.0,33.29,2.39,4.19,77.14,3.35
2015,3,12.49,24.17,3.97,20.2,0.0,33.83,1.77,2.76,77.11,3.43
2015,4,14.08,23.78,6.9,16.88,0.0,38.84,0.87,1.28,77.07,4.6
2015,5,14.06,23.15,7.32,15.83,0.0,47.07,1.34,2.14,77.01,5.58
2015,6,14.26,23.45,7.44,16.01,0.0,58.2,1.7,2.75,77.07,6.95
2015,7,14.37,23.78,6.16,17.62,0.0,59.83,1.99,3.26,77.12,7.14
2015,8,14.18,24.17,6.12,18.05,0.0,57.82,2.25,3.5,77.15,6.83
2015,9,13.89,23.76,5.47,18.29,0.0,58.65,1.97,3.45,77.12,6.55
2015,10,14.25,22.48,7.72,14.76,0.04,53.11,1.93,3.59,77.08,6.55
2015,11,13.98,21.95,6.77,15.18,0.07,70.5,2.39,4.1,77.1,8.71
2015,12,14.27,21.59,9.19,12.4,0.04,73.51,2.96,4.32,77.12,9.15
2015,13,13.75,21.64,8.14,13.5,0.02,70.99,2.89,4.81,77.16,8.57
2015,14,13.81,23.98,5.38,18.6,0.0,58.83,2.35,3.73,77.16,6.63
2015,15,14.05,24.44,7.19,17.25,0.0,40.98,2.36,4.72,77.06,4.75
2015,16,13.73,23.81,5.57,18.24,0.0,50.5,2.07,3.12,77.06,5.73
2015,17,14.63,24.45,6.39,18.06,0.01,61.57,2.18,3.1,77.02,7.47
2015,18,15.58,24.83,7.8,17.03,0.05,65.51,1.5,2.34,77.04,8.45
2015,19,15.22,21.86,8.67,13.19,1.27,71.76,1.72,3.15,77.03,9.6
2015,20,15.15,21.0,10.94,10.06,2.16,77.28,2.14,3.84,77.08,10.37
2015,21,15.55,23.16,10.43,12.73,0.27,72.95,2.72,4.15,77.24,9.79
2015,22,15.29,24.48,8.96,15.52,0.01,67.74,2.8,4.08,77.24,8.75
2015,23,14.94,25.0,6.58,18.42,0.0,60.79,2.18,3.21,77.07,7.42
2015,24,15.07,25.47,7.17,18.3,0.0,49.77,2.12,4.24,76.97,6.13
2015,25,14.48,25.28,6.68,18.6,0.0,45.15,2.38,5.01,77.07,5.32
2015,26,13.2,24.53,4.22,20.31,0.0,45.05,2.82,5.41,77.13,4.62
2015,27,14.45,26.03,6.63,19.4,0.0,36.23,2.41,4.75,77.06,4.05
2015,28,14.38,25.56,6.05,19.51,0.0,36.03,2.29,4.11,77.0,4.07
2015,29,14.3,25.64,5.28,20.36,0.0,37.34,2.54,4.4,77.03,4.21
2015,30,14.45,25.77,5.51,20.26,0.0,37.58,2.74,5.26,77.15,4.28
2015,31,14.68,26.04,6.0,20.04,0.0,40.45,2.85,4.93,77.18,4.71
2015,32,14.18,25.2,5.3,19.9,0.0,31.73,3.08,5.1,77.12,3.6
2015,33,14.32,25.76,5.04,20.72,0.0,26.31,2.65,4.24,77.07,2.91
2015,34,14.9,26.16,5.01,21.15,0.0,31.93,2.16,3.83,77.12,3.92
2015,35,15.05,25.28,6.92,18.36,0.0,43.15,2.72,4.77,77.13,5.4
2015,36,14.99,25.57,6.16,19.41,0.0,47.35,2.57,4.41,77.1,5.75
2015,37,15.37,25.8,6.55,19.25,0.65,56.05,2.57,4.32,77.12,6.99
2015,38,15.45,25.59,6.33,19.26,0.0,47.2,2.7,4.58,77.1,6.08
2015,39,17.47,27.31,8.89,18.42,0.07,40.0,1.31,2.25,76.99,5.91
2015,40,17.64,27.18,10.47,16.71,0.03,39.57,1.78,2.81,76.97,5.81
2015,41,16.44,26.7,8.12,18.58,0.0,35.41,2.83,5.41,77.04,4.68
2015,42,17.24,27.56,9.73,17.83,0.0,36.46,2.25,4.98,77.1,5.06
2015,43,17.56,27.7,9.71,17.99,0.0,39.99,2.79,5.23,77.07,5.66
2015,44,16.93,26.96,8.08,18.88,0.0,51.52,2.57,4.33,77.03,7.11
2015,45,17.67,26.6,9.34,17.26,0.0,44.65,1.4,2.33,77.0,6.79
2015,46,18.18,26.14,11.12,15.02,1.58,50.69,1.88,3.28,77.02,7.94
2015,47,17.28,23.89,11.76,12.13,1.53,61.44,1.56,2.89,77.09,9.34
2015,48,17.23,25.36,9.87,15.49,2.91,55.84,1.67,3.36,77.1,8.18
2015,49,17.54,26.41,10.55,15.86,1.09,49.67,1.91,2.9,77.03,7.36
2015,50,17.56,27.65,9.26,18.39,0.01,39.01,1.75,2.78,76.92,5.63
2015,51,18.4,27.81,9.61,18.2,0.01,41.22,1.53,2.51,76.88,6.58
2015,52,18.55,27.73,10.15,17.58,0.05,50.49,2.71,3.86,76.91,8.11
2015,53,17.44,26.23,10.48,15.75,0.28,63.97,3.32,5.13,76.99,9.51
2015,54,17.67,26.49,11.85,14.64,0.2,62.25,3.23,4.72,77.04,9.34
2015,55,17.75,26.8,9.7,17.1,0.03,57.71,2.66,3.9,77.01,8.49
2015,56,17.78,27.29,9.61,17.68,0.0,53.11,2.24,4.29,76.93,7.7
2015,57,17.72,27.77,9.11,18.66,0.0,48.07,3.2,5.54,76.93,6.91
2015,58,16.82,26.78,8.33,18.45,0.0,48.63,3.36,5.47,76.99,6.48
2015,59,17.08,27.69,8.28,19.41,0.0,37.6,3.06,4.84,76.95,5.08
2015,60,17.02,27.7,7.58,20.12,0.0,36.68,2.58,4.19,76.99,4.82
2015,61,17.11,27.81,7.76,20.05,0.0,34.98,3.42,5.81,77.05,4.72
2015,62,17.01,27.28,8.41,18.87,0.0,27.72,3.66,5.64,77.07,3.57
2015,63,17.31,29.32,6.96,22.36,0.0,26.63,2.7,4.55,77.02,3.41
2015,64,17.02,27.88,7.54,20.34,0.0,25.88,3.24,5.36,76.98,3.55
2015,65,17.35,27.77,8.25,19.52,0.0,34.86,3.11,4.99,77.09,4.89
2015,66,17.41,27.09,9.06,18.03,0.0,36.94,3.69,5.49,77.07,5.17
2015,67,17.17,28.07,7.98,20.09,0.0,29.69,3.65,5.55,77.1,3.89
2015,68,16.85,27.4,7.07,20.33,0.0,30.35,3.47,5.17,77.1,4.05
2015,69,17.65,28.05,8.81,19.24,0.0,42.06,3.44,5.46,77.08,5.89
2015,70,18.67,29.4,9.23,20.17,0.0,44.7,2.36,4.55,77.02,6.71
2015,71,19.37,28.6,10.69,17.91,2.0,45.02,1.8,3.27,77.06,7.48
2015,72,19.23,28.47,11.47,17.0,0.26,41.51,3.03,5.65,77.01,6.92
2015,73,17.89,27.14,9.78,17.36,0.0,40.89,3.58,6.08,77.06,6.21
2015,74,17.98,27.73,9.34,18.39,0.0,37.93,3.31,5.79,77.05,5.78
2015,75,18.61,28.13,9.6,18.53,0.0,41.97,3.21,4.87,77.03,6.69
2015,76,19.17,28.01,11.63,16.38,0.36,45.66,3.05,4.65,77.01,7.7
2015,77,18.79,27.75,11.02,16.73,0.13,47.11,3.11,5.12,76.99,7.69
2015,78,18.86,28.08,10.66,17.42,1.26,47.25,2.77,4.56,76.92,7.77
2015,79,18.92,26.85,12.54,14.31,1.0,55.13,2.72,4.45,76.99,9.14
2015,80,18.38,26.15,12.18,13.97,4.46,64.38,2.95,5.0,77.03,10.32
2015,81,17.52,23.54,13.08,10.46,4.36,73.24,2.98,4.68,77.03,11.47
2015,82,17.21,24.13,12.9,11.23,2.31,74.76,1.88,3.57,76.95,11.43
2015,83,16.76,23.24,11.07,12.17,1.76,69.36,2.74,3.66,76.99,10.27
2015,84,17.5,24.72,10.97,13.75,1.17,64.65,2.21,3.4,77.03,9.82
2015,85,18.04,25.48,11.74,13.74,0.29,62.59,2.71,4.14,77.07,9.75
2015,86,18.66,27.85,11.67,16.18,0.0,56.76,2.58,4.32,77.03,8.88
2015,87,18.48,25.9,11.36,14.54,0.0,59.84,1.61,2.43,77.03,9.67
2015,88,19.31,28.4,11.32,17.08,0.0,50.31,2.97,4.72,76.97,8.15
2015,89,18.3,28.12,10.37,17.75,0.0,44.48,3.1,5.36,77.01,6.76
2015,90,18.3,28.58,9.63,18.95,0.0,44.54,3.07,5.88,77.03,6.82
2015,91,18.66,29.14,10.01,19.13,0.0,37.47,3.15,5.08,77.02,5.45
2015,92,18.74,29.46,9.76,19.7,0.0,35.26,3.07,5.27,76.95,5.11
2015,93,18.57,28.12,10.02,18.1,0.04,41.62,3.03,5.4,76.85,6.62
2015,94,19.06,28.9,10.4,18.5,0.01,42.56,3.16,5.42,76.82,6.83
2015,95,18.92,29.46,10.26,19.2,0.0,31.02,2.72,5.31,76.9,4.61
2015,96,19.12,29.57,10.18,19.39,0.01,32.39,2.81,4.91,76.95,5.0
2015,97,19.91,30.21,10.61,19.6,0.28,38.84,2.22,3.83,76.95,6.57
2015,98,19.65,30.35,11.42,18.93,0.03,26.3,2.69,5.26,76.93,4.02
2015,99,19.22,29.17,11.06,18.11,1.08,36.21,2.55,5.06,76.97,6.34
2015,100,19.89,29.46,11.78,17.68,0.01,40.33,2.46,4.47,77.03,6.89
2015,101,20.58,29.99,13.03,16.96,0.0,35.35,2.35,5.14,77.04,6.53
2015,102,19.54,28.19,11.92,16.27,0.01,46.29,3.49,5.92,77.15,8.11
2015,103,18.03,24.73,11.45,13.28,0.08,60.09,2.73,4.28,77.13,9.63
2015,104,18.84,24.55,13.75,10.8,0.35,63.29,2.85,5.08,76.96,10.66
2015,105,18.87,26.77,13.58,13.19,0.42,55.37,2.64,4.55,76.92,9.07
2015,106,18.8,28.34,11.03,17.31,0.28,39.98,3.88,6.91,77.14,5.99
2015,107,17.84,26.88,9.67,17.21,0.0,35.34,3.11,5.33,77.2,4.89
2015,108,18.56,29.75,8.64,21.11,0.0,29.16,2.73,4.38,77.04,4.35
2015,109,19.86,29.98,11.45,18.53,0.02,28.98,1.67,3.6,76.98,5.08
2015,110,19.77,29.65,11.59,18.06,0.0,34.93,3.07,5.48,76.99,5.93
2015,111,18.87,29.33,9.47,19.86,0.01,31.5,2.87,5.25,77.03,4.71
2015,112,19.85,30.57,10.6,19.97,0.01,24.82,2.04,4.47,77.03,4.11
2015,113,20.07,30.93,12.12,18.81,0.08,26.48,2.02,4.85,77.01,4.3
2015,114,20.46,30.81,12.34,18.47,0.0,26.64,2.01,4.54,77.03,4.71
2015,115,20.7,30.71,11.65,19.06,2.72,40.72,2.44,4.15,76.96,7.23
2015,116,19.35,27.25,12.65,14.6,1.49,53.07,2.06,3.93,76.93,9.19
2015,117,19.66,27.81,12.99,14.82,0.21,50.4,2.99,5.94,77.0,8.48
2015,118,19.33,28.72,12.56,16.16,0.05,46.67,3.56,6.18,77.04,7.15
2015,119,18.8,28.85,9.71,19.14,0.0,41.11,3.38,5.51,77.01,6.07
2015,120,19.55,29.7,10.81,18.89,0.0,35.21,3.13,5.12,76.98,5.29
2015,121,20.06,30.5,10.76,19.74,0.0,33.47,3.31,4.66,76.97,5.28
2015,122,19.51,28.04,12.64,15.4,0.48,52.62,3.32,5.42,76.99,9.02
2015,123,18.86,26.54,13.02,13.52,2.85,65.05,2.73,4.27,76.94,10.88
2015,124,16.91,20.42,14.16,6.26,5.54,78.27,1.06,1.83,77.0,12.06
2015,125,16.28,20.09,13.93,6.16,5.85,81.24,1.73,3.33,76.94,12.08
2015,126,16.05,21.38,12.99,8.39,16.47,79.39,1.74,3.61,76.95,11.49
2015,127,17.3,24.1,10.93,13.17,1.77,71.93,2.35,4.7,77.02,10.94
2015,128,16.71,21.33,13.21,8.12,3.46,76.92,1.7,3.12,77.1,11.63
2015,129,17.73,23.87,13.01,10.86,4.25,73.27,2.08,4.48,77.05,11.51
